,0,1,2,3,4,5,6,7,8,9
CUST_ID,-0.19623353088636344,-0.22002855951295977,-0.0784344690324511,0.25308878188847944,0.3892884608562034,-0.48181410771706606,0.04398122420839108,-0.051320200948397836,0.4747362004726468,0.06003909257769015
BALANCE,0.15052577433916284,0.7471809122943217,-0.18881983013340858,-0.3032094310305344,0.023068977788834023,0.1871625193290914,0.017078013540173322,0.19460539752452974,-0.028716985000528328,-0.012499580780965249
BALANCE_FREQUENCY,0.19163744828654944,0.26067993867051187,-0.3698765473979526,-0.48838403799887503,-0.06898137857565612,-0.24436100439052438,-0.062096105484987216,-0.28549437155749163,-0.2836891697103678,0.31362719184305327
PURCHASES,0.9203120174195872,0.1436247496602489,0.21850701694985122,0.03158251953941332,0.22485150193381684,-0.04651829220636849,-0.018210672457598658,-0.05541594822294774,-0.05593572303562946,-0.012376842420988951
ONEOFF_PURCHASES,0.7982580196994487,0.1830326400265219,0.3970546611362978,0.0001289230345450104,0.12618881787254382,-0.12903548054727287,-0.01329802896713684,-0.06516005406621012,-0.030617471154852815,0.03912839228442221
INSTALLMENTS_PURCHASES,0.7093244469631899,0.003199624670065125,-0.21272906268813163,0.0745409173249732,0.2999410066509785,0.12702679523683952,-0.018661523242156846,-0.011410381807933483,-0.07596920730711368,-0.10118920037421626
CASH_ADVANCE,-0.11832759882299118,0.831544395832252,-0.18663227774863955,0.3544749184451193,-0.11796788741299136,0.017059436812962667,-0.014570900026044581,-0.005897917542830717,0.08413784957266149,-0.020952315797656607
PURCHASES_FREQUENCY,0.656886527599588,-0.3374478936998888,-0.5439710179634953,0.023771037310416774,-0.19906220112593576,-0.1374811141386369,0.04644856629572641,0.060011545547526704,0.030914122047497918,0.001593419098028566
ONEOFF_PURCHASES_FREQUENCY,0.6329062377767066,0.0135431948673292,0.13426749270406518,-0.17636686688355663,-0.5161723672162267,-0.31746313028332,0.08794907558345227,0.07437298415547892,0.11259301700336588,0.1294595791960441
PURCHASES_INSTALLMENTS_FREQUENCY,0.5453157630113713,-0.3316968569745498,-0.696176607325399,0.10811798058349074,0.05828152240360616,0.022925866202497543,0.015579356257635622,-0.00027051357528923276,-0.023267400134428212,-0.11802946354609725
CASH_ADVANCE_FREQUENCY,-0.24515641298754295,0.7651950960825559,-0.15920065158746408,0.1193565356861595,-0.03325547610340703,-0.24366128743169188,0.025139991210881563,-0.1388719760758202,-0.04089652951303059,-0.025381267016111122
CASH_ADVANCE_TRX,-0.1555454525127408,0.7321736233085357,-0.2057494848181784,0.2221489239606914,-0.08479629013002636,-0.1995786466345998,0.015813245439239298,-0.2024944309235029,0.1046649494334843,-0.04368863883205118
PURCHASES_TRX,0.8045740173017937,0.00938846457155597,-0.1798019850304617,-0.05308709035614672,0.008312768670127028,-0.08870513908465015,0.051722805615136994,-0.00918680895121543,0.02693782628986378,-0.04724431147777965
CREDIT_LIMIT,0.4249329052450377,0.4301107867750863,0.02882611316037057,0.07203236490455672,-0.3479834101538804,0.44006529411179024,-0.05096248646847265,0.21798127729692957,-0.06808522254223576,0.0007008536670500831
PAYMENTS,0.5548495021912287,0.5198757956416805,0.13003529613327297,0.2890388636326161,0.09642061242616404,0.13664463689461356,-0.0382672626916267,-0.13553689388053833,0.07049623820588394,0.04000480473859774
MINIMUM_PAYMENTS,0.09386041924061524,0.3077775005944259,-0.19777475523323912,-0.34043789330581686,0.3230934984047647,0.24202912217196831,0.033994142473521546,0.4342337171014592,0.4060370385776105,0.3521724140785324
PRC_FULL_PAYMENT,0.27844669918382897,-0.3361115697760145,-0.026420910776994228,0.4790404241816495,-0.1382790976382686,0.0712852198169486,-0.17483669669858468,-0.09797509260912321,-0.05157177645025822,0.6454539464596607
TENURE,0.15732647153351637,-0.025850558111184776,-0.02521262018130152,-0.3262512381880256,-0.16663631544701402,0.49698581173024686,-0.04636377470861706,-0.6336440467840475,0.4177269528307147,-0.04160348348695062
MONTHLY_AVG_PURCHASE_AMT,0.9164065173952947,0.14509724132038518,0.2178887662513044,0.04321004897542604,0.22726264077281624,-0.06951272353100685,-0.01584833506566512,-0.025763288719502408,-0.07260199572233104,-0.010368040958761033
MONTHLY_CASH_ADVANCE_AMT,-0.13002572686833666,0.815649684732783,-0.18072964110586656,0.37917825269704675,-0.0999924661513396,-0.040143133097980115,-0.008791084391394612,0.07167179461150118,0.028180478273853626,-0.02139440079892991
PURCHASE_TYPE_ONEOFF,0.45920344213160696,0.012525961899104493,0.22812013846673787,-0.2488807827300887,-0.5420533526779604,-0.2963414670846277,0.10785555190914822,0.14946544623334793,0.24881731519838762,-0.11290030562870924
PURCHASE_TYPE_INSTALLMENTS,0.48084998598942896,-0.370524481473882,-0.612923097714106,0.13828506950408784,0.0007925526545746454,0.0639174475093649,0.002210209491047073,0.033474652585535516,0.04068082803991944,-0.18200997634703078
AVG_AMT_PER_PURCHASE,0.6947783582564959,0.16550225735212531,0.4393340795214449,0.02470703471418909,0.21661858256590585,-0.013341440827840372,-0.027964656914924568,-0.015669954196353576,0.029610030528394584,-0.09779906679886055
LIMIT_USAGE,-0.1498617814040344,0.47531720947145956,-0.1775447591803448,-0.5924166473567545,0.3049159979990422,-0.1856881111709868,0.07031202667969345,-0.07248421049872907,-0.09969486622766931,0.05029373026947833
PAYMENTS_USAGE,0.018412196691723122,-0.03113370508789627,0.039613909755513856,0.15431578434714552,0.033663499339397995,0.15539998448693135,0.9567468237777299,-0.0938453736183998,-0.0803078176541342,0.12100514451261221
